distance,Right_lat_irreg,right vert irreg,left lat irreg,left vert irreg
31.05321,-8.70E-06,-8.75E-05,-0.000102152,6.79E-05
31.2337,-5.69E-06,-9.41E-05,-0.000107188,6.21E-05
31.4142,-2.62E-06,-9.95E-05,-0.000109537,5.51E-05
31.5947,5.90E-07,-0.000103289,-0.000109063,4.70E-05
31.7752,4.16E-06,-0.000105583,-0.000105973,3.81E-05
31.95569,8.40E-06,-0.00010651,-0.000100622,2.87E-05
32.13619,1.36E-05,-0.00010627,-9.35E-05,1.89E-05
32.31668,2.01E-05,-0.00010516,-8.49E-05,9.07E-06
32.49718,2.82E-05,-0.000103565,-7.55E-05,-8.74E-07
32.67768,3.80E-05,-0.000101938,-6.58E-05,-1.08E-05
32.85818,4.97E-05,-0.000100617,-5.62E-05,-2.07E-05
33.03868,6.31E-05,-9.98E-05,-4.69E-05,-3.02E-05
33.21918,7.79E-05,-9.95E-05,-3.81E-05,-3.92E-05
33.39968,9.38E-05,-1.00E-04,-3.00E-05,-4.75E-05
33.58017,0.000110219,-0.000101126,-2.23E-05,-5.43E-05
33.76067,0.000126394,-0.000102767,-1.49E-05,-5.89E-05
33.94117,0.000141548,-0.000104778,-7.71E-06,-6.03E-05
34.12167,0.000155042,-0.000107179,-4.19E-07,-5.79E-05
34.30217,0.000166293,-0.000110078,7.10E-06,-5.06E-05
34.48266,0.000174668,-0.000113601,1.50E-05,-3.75E-05
34.66316,0.000179823,-0.000118043,2.35E-05,-1.81E-05
34.84367,0.000181796,-0.000123909,3.26E-05,7.41E-06
35.02417,0.000180684,-0.000131775,4.23E-05,3.87E-05
35.20467,0.00017671,-0.000142168,5.27E-05,7.51E-05
35.38518,0.000170367,-0.000155353,6.39E-05,0.000114782
35.56569,0.000162277,-0.000171557,7.61E-05,0.000155627
35.74619,0.000153118,-0.000190914,8.92E-05,0.000195179
35.9267,0.000143376,-0.000212852,0.000103687,0.00023099
36.1072,0.000133469,-0.000236385,0.000119612,0.000260461
36.2877,0.000123855,-0.000260386,0.000137263,0.000280766
36.4682,0.000114726,-0.000283396,0.000156727,0.00029006
36.6487,0.000105948,-0.000303594,0.000177903,0.000287704
36.82919,9.73E-05,-0.000318942,0.000200662,0.000273136
37.00967,8.87E-05,-0.000327501,0.0002247,0.000246503
37.19015,7.97E-05,-0.000327929,0.0002493,0.000209796
37.37063,7.00E-05,-0.000318903,0.0002736,0.000165586
37.5511,5.92E-05,-0.000299184,0.000296644,0.000116776
37.73158,4.73E-05,-0.000268656,0.00031739,6.65E-05
37.91205,3.44E-05,-0.00022775,0.000334702,1.83E-05
38.09252,2.08E-05,-0.000177023,0.000347356,-2.42E-05
38.273,6.74E-06,-0.000117481,0.000354453,-5.83E-05
38.45348,-7.00E-06,-5.06E-05,0.000355447,-8.26E-05
38.63396,-1.97E-05,2.19E-05,0.00034979,-9.58E-05
38.81444,-3.04E-05,9.83E-05,0.000337178,-9.73E-05
38.99493,-3.86E-05,0.000177583,0.000317932,-8.84E-05
39.17542,-4.35E-05,0.000258351,0.000292533,-7.07E-05
39.35591,-4.42E-05,0.000339401,0.00026157,-4.65E-05
